,cmpdname,isosmiles,target
16,N-carbamoyl-L-aspartate(2-),C([C@@H](C(=O)[O-])NC(=O)N)C(=O)[O-],1
17,Thiophene-2-carbaldehyde,C1=CSC(=C1)C=O,1
18,3-Methyl-2-butanol,CC(C)C(C)O,0
19,Tenofovir disoproxil,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,1
20,5-Aminoimidazole ribonucleotide,C1=C(N(C=N1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N,1
21,2-Methylnapthalene,Cc1ccc2ccccc2c1,0
22,Serotonin(1+),C1=CC2=C(C=C1O)C(=CN2)CC[NH3+],1
23,Quinoline-3-carboxylic acid,C1=CC=C2C(=C1)C=C(C=N2)C(=O)O,1
24,N-Acetylglucosamine-1-phosphate,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1OP(=O)(O)O)CO)O)O,1
25,3-Methylpentane,CCC(C)CC,0
26,3-hydroxybut-3-enoic Acid,C=C(CC(=O)O)O,1
27,Lipoate,C1CSSC1CCCCC(=O)[O-],1
28,Ethane,CC,0
29,phenobarbital,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,0
30,Epiandrosterone,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,0
31,Cbz-Thr(tBu)-Leu-Ala(((S)-2-oxopyrrolidin-3-yl))-ol,C[C@H]([C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)CO)NC(=O)OCC2=CC=CC=C2)OC(C)(C)C,1
32,Bromomethane,CBr,0
33,d-Limonene,CC1=CCC(CC1)C(C)=C,0
34,Tetrahydrofurane ,C1CCOC1,0
35,Estradiol,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,0
36,Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0
37,p-Bromoiodobenzene,Brc1ccc(I)cc1,0
38,3-Methyl-3-hexanol,CCCC(C)(O)CC,0
39,2-acetamido-2-deoxy-beta-D-glucopyranose,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O,1
40,trans-2-Pentene ,CC/C=C/C,0
41,methacrylyl-CoA(4-),CC(=C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,1
42,Napthalene,c1ccc2ccccc2c1,0
43,Decalin,C1CCC2CCCCC2C1,0
44,"(10R,11S,13R,17S)-11-hydroxy-17-(2-hydroxyacetyl)-10-methyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthrene-13-carbaldehyde",C[C@]12CCC(=O)C=C1CCC3C2[C@H](C[C@]4(C3CC[C@@H]4C(=O)CO)C=O)O,1
45,5-Methylsalicylic acid,CC1=CC(=C(C=C1)O)C(=O)O,1
46,dTDP-alpha-D-glucose,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,1
47,Methyl acrylate,COC(=O)C=C,0
48,Uridine-5'-diphosphate,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O,1
49,Faicar,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)NC=O)C(=O)N,1
50,"1-(4-fluorobenzene-6-id-1-yl)-N-phenylmethanimine;iridium(3+);1,2,3,4,5-pentamethylcyclopenta-1,3-diene;chloride",C[C-]1C(=C(C(=C1C)C)C)C.C1=CC=C(C=C1)N=CC2=[C-]C=C(C=C2)F.[Cl-].[Ir+3],1
51,"1,7-phenantroline",c1cnc2c(c1)ccc3ncccc23,0
52,Uridine-triphosphate,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O,1
53,N-(2-fluorophenyl)ethanesulfonamide,CCS(=O)(=O)NC1=CC=CC=C1F,1
54,styrene oxide,C1OC1c2ccccc2 ,0
55,6-Methyl-1H-indole-2-carboxylic acid,CC1=CC2=C(C=C1)C=C(N2)C(=O)O,1
56,"Azepan-1-yl(1,3-benzodioxol-5-yl)methanone",C1CCCN(CC1)C(=O)C2=CC3=C(C=C2)OCO3,1
57,Clomazone,CC1(C)CON(Cc2ccccc2Cl)C1=O,0
58,5-Allyl-5-isopropylbarbital,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,0
59,3-{[5-(azetidin-1-ylcarbonyl)pyrazin-2-yl]oxy}-5-{[(1S)-1-methyl-2-(methyloxy)ethyl]oxy}-N-(5-methylpyrazin-2-yl)benzamide,CC1=CN=C(C=N1)NC(=O)C2=CC(=CC(=C2)O[C@@H](C)COC)OC3=NC=C(N=C3)C(=O)N4CCC4,1
60,Diacerein,CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,1
61,Methyl 4-sulfamoylbenzoate,COC(=O)C1=CC=C(C=C1)S(=O)(=O)N,1
62,"2,4-Dimethyl-3-pentanone",CC(C)C(=O)C(C)C,0
63,Adenosine diphosphate glucose,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N,1
64,5-Allyl-5-ethylbarbital,O=C1NC(=O)NC(=O)C1(CC)CC=C,0
65,Unii-0vmv8Z3972,CCN(CC)C(=O)CC1=C2N=C(C=C(N2N=C1C3=CC=C(C=C3)OCC[18F])C)C,1
66,N-(3-{[(2R)-4-oxoazetidin-2-yl]oxy}phenyl)-2-(pyrimidin-5-yl)acetamide,C1[C@H](NC1=O)OC2=CC=CC(=C2)NC(=O)CC3=CN=CN=C3,1
67,5-(3-Methyl-2-butenyl)-5-ethylbarbital,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,0
68,L-pipecolate,C1CC[NH2+][C@@H](C1)C(=O)[O-],1
69,N-(5-methylthiophen-2-yl)-N'-pyridin-3-ylurea,CC1=CC=C(S1)NC(=O)NC2=CN=CC=C2,1
70,Naled,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,0
71,2-hydroxypteridine,Oc2ncc1nccnc1n2,0
72,"3,5-Dichlorophenol",Oc1cc(Cl)cc(Cl)c1,0
73,Carboxyaminoimidazole ribotide,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N)C(=O)O,1
74,Azodrin,CNC(=O)C=C(C)OP(=O)(OC)OC,0
75,Palmitoylethanolamide,CCCCCCCCCCCCCCCC(=O)NCCO,1
76,1-{4-[(5-Chlorothiophen-2-yl)methyl]piperazin-1-yl}ethan-1-one,CC(=O)N1CCN(CC1)CC2=CC=C(S2)Cl,1
77,Carbamoyl phosphate(2-),C(=O)(N)OP(=O)([O-])[O-],1
78,2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,0
79,bupirimate,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,0
80,D-Fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,1
81,Quintozene,Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,0
82,Benzo[ghi]perylene,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,0
83,acryloyl-CoA(4-),CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)C=C)O,1
84,2-Nitropropane,CC(C)N(=O)=O,0
85,Calcifediol monohydrate,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\\2[C@@]1(CCC/C2=C\\C=C/3\\C[C@H](CCC3=C)O)C.O,1
86,Riboflavin,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,0
87,"(3S)-N-cyclopropyl-3-[[(2R)-3-(cyclopropylmethylsulfonyl)-2-[[(1S)-2,2,2-trifluoro-1-(4-fluorophenyl)ethyl]amino]propanoyl]amino]-2-oxopentanamide",CC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@H](CS(=O)(=O)CC2CC2)N[C@@H](C3=CC=C(C=C3)F)C(F)(F)F,1
88,1-Propanol,CCCO,0
89,"[(2r,3s,4r,5r)-5-(6-Aminopurin-9-Yl)-3,4-Dihydroxy-Oxolan-2-Yl]methyl [hydroxy-[[(2r,3s,4r,5s)-3,4,5-Trihydroxyoxolan-2-Yl]methoxy]phosphoryl] Hydrogen Phosphate",C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](O4)O)O)O)O)O)N,1
90,"2,3-Dimethylpyridine",Cc1cccnc1C,0
91,2-Methyltetrahydrofurane,CC1CCCO1,0
92,"3,4-Dichlorophenylacetic acid",C1=CC(=C(C=C1CC(=O)O)Cl)Cl,1
93,osthole,c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O ,0
94,Uridine 5'-triphosphate,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,1
95,Barbital,O=C1NC(=O)NC(=O)C1(CC)CC,0
96,"beta-D-fructofuranose 2,6-bisphosphate(4-)",C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)OP(=O)([O-])[O-])O)O)OP(=O)([O-])[O-],1
97,Cob(II)alamin,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\\4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\\7/[C@@]([C@@H](C(=N7)/C=C\\8/C([C@@H](C(=N8)/C(=C4\\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co],1
98,"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,0
99,"7-Bromo-5-methyl-1H-indole-2,3-dione",CC1=CC2=C(C(=C1)Br)NC(=O)C2=O,1
100,3-Hydroxypyruvate,C(C(=O)C(=O)[O-])O,1
101,Propanil,CCC(=O)Nc1ccc(Cl)c(Cl)c1,0
102,2-Chloroanisole,COc1ccccc1Cl,0
103,Unii-1EL1K52SH1,C1=C(C2=C(N1)C(=NC=N2)N)[C@H]3[C@@H]([C@@H]([C@H](N3)CO)O)O.Cl,1
104,Pleo zinc,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O.[Zn],1
105,"[(1S,4R,6S,7Z,14R,18R)-4-(cyclopropylsulfonylcarbamoyl)-14-[(2-methylpropan-2-yl)oxycarbonylamino]-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-en-18-yl] 4-fluoro-1,3-dihydroisoindole-2-carboxylate",CC(C)(C)OC(=O)N[C@@H]1CCCCC/C=C\\[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O)N4CC5=C(C4)C(=CC=C5)F)C(=O)NS(=O)(=O)C6CC6,1
106,2-(5-bromo-1H-indol-3-yl)acetic acid,C1=CC2=C(C=C1Br)C(=CN2)CC(=O)O,1
107,2-Oxoadipate(2-),C(CC(=O)C(=O)[O-])CC(=O)[O-],1
108,sodium;8-amino-4-oxo-3H-phthalazin-1-olate,C1=CC2=C(C(=C1)N)C(=NNC2=O)[O-].[Na+],1
109,fluconazole,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,0
110,Dibutyl ether ,CCCCOCCCC,0
111,salicylanilide,c1ccccc1NC(=O)c2c(O)cccc2,0
112,Tetrahydropyran ,C1CCOCC1,0
113,"4-[(1R,2S)-2-(4-benzylpiperidin-1-yl)-1-hydroxypropyl]phenol",C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,1
114,Tyrosine,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,1
115,Sodium pyruvate,CC(=O)C(=O)[O-].[Na+],1
116,Lactobiose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,1
117,Formoterol,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,1
118,"2-{3-[3-chloro-5-(cyclopropylmethoxy)phenyl]-2-oxo[2H-[1,3'-bipyridine]]-5-yl}benzonitrile",C1CC1COC2=CC(=CC(=C2)C3=CC(=CN(C3=O)C4=CN=CC=C4)C5=CC=CC=C5C#N)Cl,1
119,1-Acetyl-4-[(4-chlorophenyl)sulfonyl]piperazine,CC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)Cl,1
120,"[(1S,4R,6S,7E,14S,18R)-4-(cyclopropylsulfonylcarbamoyl)-14-[(2-methylpropan-2-yl)oxycarbonylamino]-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-en-18-yl] 4-fluoro-1,3-dihydroisoindole-2-carboxylate",CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C/[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O)N4CC5=C(C4)C(=CC=C5)F)C(=O)NS(=O)(=O)C6CC6,1
121,"1,3,5-Trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,0
122,"(2S,5R,6R)-6-[[(2S)-2-[(4-ethyl-2,3-dioxo-piperazine-1-carbonyl)amino]-2-phenyl-propanoyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid; (2S,3S,5R)-3-methyl-4,4,7-trioxo-3-(triazol-1-ylmethyl)-4$l^{6}-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CCN1CCN(C(=O)C1=O)C(=O)N[C@@](C)(C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O.C[C@@]1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3,1
123,N1-Protonated adenosine-5'-monophosphate,C1=[N+](C2=NC=NC(=C2N1)N)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,1
124,Anthranilate,C1=CC=C(C(=C1)C(=O)[O-])N,1
125,Ethyl pentanoate,CCCOC(=O)CCC,0
126,Cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,0
127,3-Cyclopentyl-1-(piperazin-1-yl)propan-1-one,C1CCC(C1)CCC(=O)N2CCNCC2,1
128,Methyl nonanoate,CCCCCCCCC(=O)OC,0
129,Simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,1
130,"2,4-Dimethyl-2-pentanol ",CC(C)CC(C)(C)O,0
131,Bardoxolone methyl,C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)C(=O)OC,1
132,"2-Methyl-1,3-Butadiene ",CC(=C)C=C,0
133,pregnenolone,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,0
134,Stachyose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O[C@]4([C@H]([C@@H]([C@H](O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O,1
135,3-Acetamido-4-fluorobenzoic acid,CC(=O)NC1=C(C=CC(=C1)C(=O)O)F,1
136,2-Iodoadenosine-5'-O-[(phosphonomethyl)phosphonic Acid],C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(CP(=O)(O)O)O)O)O)I)N,1
137,Benzo(j)fluoranthene,c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,0
138,UMP dianion,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O,1
139,3-oxodecanoyl-CoA(4-),CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,1
140,simazine,CCNc1nc(Cl)nc(NCC)n1 ,0
141,Chloroxuron,CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,0
142,Anethole,COc1ccc(C=CC)cc1,0
143,Methylenesuccinate(2-),C=C(CC(=O)[O-])C(=O)[O-],1
144,N-[(1R)-2-(2-ethyl-6-methylanilino)-2-oxo-1-pyridin-3-ylethyl]-N-(6-propan-2-ylpyridin-3-yl)propanamide,CCC1=CC=CC(=C1NC(=O)[C@@H](C2=CN=CC=C2)N(C3=CN=C(C=C3)C(C)C)C(=O)CC)C,1
145,Trimazosin,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O ,0
146,Isocarboxazid,Cc1cc(no1)C(=O)NNCc2ccccc2,0
147,2-Amino-5-guanidinovaleric acid,C(C[C@@H](C(=O)[O-])[NH3+])C[NH+]=C(N)N,1
148,Dyphylline,Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O,0
149,cortisone acetate,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,0
150,Argatroban,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,1
151,Carbazole,c1ccc2c(c1)[nH]c3ccccc32,0
152,10-Formyltetrahydropteroylglutamic acid,C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,1
153,2-Hydroxy-3-methylbut-2-enoic acid,CC(=C(C(=O)O)O)C,1
154,Abivertinib maleate,CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC4=C(C=CN4)C(=N3)OC5=CC=CC(=C5)NC(=O)C=C)F.C(=C\\C(=O)O)\\C(=O)O.O.O,1
155,N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide(2-),C([C@@H]1[C@H]([C@H](C(O1)NC(=O)CNC=O)O)O)OP(=O)([O-])[O-],1
156,Biotinate,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)[O-])NC(=O)N2,1
157,trans-Urocanate,C1=C(NC=N1)/C=C/C(=O)[O-],1
158,"(2S)-2-amino-4-(1,3-benzothiazol-2-yl)butanoic acid",C1=CC=C2C(=C1)N=C(S2)CC[C@@H](C(=O)O)N,1
159,GC373 bound form,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)CO)NC(=O)OCC2=CC=CC=C2,1
160,2'-Deoxycytidine,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,1
161,o-Nitroanisole,COc1ccccc1N(=O)=O,0
162,6-O-(alpha-D-Galactopyranosyl)-D-glucopyranose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,1
163,N-methyl-1H-indole-7-carboxamide,CNC(=O)C1=CC=CC2=C1NC=C2,1
164,2-Iodopropane,CC(C)I,0
165,"(E,E,E,E)-Squalene",CC(=CCC/C(=C/CC/C(=C/CC/C=C(\\C)/CC/C=C(/C)\\CCC=C(C)C)/C)/C)C,1
166,Dexmedetomidine,CC1=C(C(=CC=C1)[C@H](C)C2=CN=CN2)C,1
167,"N'-cyclopropyl-N-methyl-N-[(5-methyl-1,2-oxazol-3-yl)methyl]urea",CC1=CC(=NO1)CN(C)C(=O)NC2CC2,1
168,Simetryn,CSc1nc(nc(n1)N(C)C)N(C)C,0
169,Nalpha-[(4-Methylpiperazin-1-Yl)carbonyl]-N-[(3s)-1-Phenyl-5-(Phenylsulfonyl)pentan-3-Yl]-L-Phenylalaninamide,CN1CCN(CC1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC3=CC=CC=C3)CCS(=O)(=O)C4=CC=CC=C4,1
170,2-Butoxyethanol,CCCCOCCO,0
171,3-methylindole,Cc1c[nH]c2ccccc12 ,0
172,Zidovudine,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],1
173,Methoxychlor,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,0
174,"2',3,4-PCB",Clc1ccc(cc1)c2cccc(Cl)c2Cl ,0
175,Glutamine,C(CC(=O)N)[C@@H](C(=O)O)N,1
176,2-thiophen-2-yl-1H-imidazole,C1=CSC(=C1)C2=NC=CN2,1
177,Linagliptin,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,1
178,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1
179,Proline,C1C[C@H](NC1)C(=O)O,1
180,Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,1
181,"N-[(3R)-1,1-dioxo-1lambda~6~-thiolan-3-yl]-N-methyl-N'-propan-2-ylurea",CC(C)NC(=O)N(C)[C@@H]1CCS(=O)(=O)C1,1
182,Senicapoc,C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)(C3=CC=C(C=C3)F)C(=O)N,1
183,ampyrone,Cc2c(N)c(=O)n(c1ccccc1)n2C,0
184,menthol,CC(C)C1CCC(C)CC1O ,0
185,Dichloromethane,ClCCl,0
186,N-Phthaloylglycine,C1=CC=C2C(=C1)C(=O)N(C2=O)CC(=O)O,1
187,"N-(8-methyl-1,2,3,4-tetrahydroquinolin-5-yl)acetamide",CC1=C2C(=C(C=C1)NC(=O)C)CCCN2,1
188,"2,4,6-Trinitrotoluene",Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,0
189,Pebulate,CCCCN(CC)C(=O)SCCC,0
190,2-Methylanthracene,Cc1ccc2cc3ccccc3cc2c1,0
191,"4,6-Dihydroxyquinoline",C1=CC2=C(C=C1O)C(=O)C=CN2,1
192,Siduron,CC1CCCCC1NC(=O)Nc2ccccc2,0
193,"5,10-methylene-THF",C1[C@@H]2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O,1
194,Glutamic acid,C(CC(=O)O)[C@@H](C(=O)O)N,1
