,cmpdname,isosmiles,target
64,Legalon SIL,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)OC(=O)CCC(=O)[O-])COC(=O)CCC(=O)[O-])O.COC1=C(C=CC(=C1)[C@H]2[C@@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)OC(=O)CCC(=O)[O-])COC(=O)CCC(=O)[O-])O.[Na+].[Na+].[Na+].[Na+],1
65,Nebivolol,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O,1
66,flupentixol,OCCN1CCN(CC\C=C/2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,0
67,amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0
68,ciprazafone,C1=C(Cl)C=CC(=C1C(C2=C(C=CC=C2)Cl)=O)N(C(CNC3CC3)=O)C,0
69,azaquinzole,C1=CC=CC2=C1C3N(CC2)CCNC3,0
70,Lead,[Pb],1
71,"7-fluoro-N,2-dimethylquinoline-3-carboxamide",CC1=C(C=C2C=CC(=CC2=N1)F)C(=O)NC,1
72,3-phosphonato-D-glyceroyl phosphate(4-),C([C@H](C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-],1
73,prednisolamate,C(C(C4(C3(C(C2C(C1(C(=CC(=O)C=C1)CC2)C)C(C3)O)CC4)C)O)=O)OC(CN(CC)CC)=O,0
74,P-Toluenesulfonamide,CC1=CC=C(C=C1)S(=O)(=O)N,1
75,Acebilustat,C1[C@H]2CN([C@@H]1CN2CC3=CC=C(C=C3)OC4=CC=C(C=C4)C5=NC=CO5)CC6=CC=C(C=C6)C(=O)O,1
76,heroin,CN1CC[C@]23[C@H]4Oc5c(OC(C)=O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4OC(C)=O)c35,0
77,oxycodone,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,0
78,tamolarizine,C4=C(C(N2CCN(CC(C1=CC=C(C(=C1)OC)OC)O)CC2)C3=CC=CC=C3)C=CC=C4,0
79,Diphenylacetic acid,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)O,1
80,Mefloquine,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,1
81,puromycin,COc1ccc(C[C@H](N)C(=O)NC2[C@@H](O)[C@@H](O[C@@H]2CO)n3cnc4c(ncnc34)N(C)C)cc1,0
82,linopirdine,C1=CC=CC2=C1C(C(N2C3=CC=CC=C3)=O)(CC4=CC=NC=C4)CC5=CC=NC=C5,0
83,hexapropymate,NC(=O)OC1(CCCCC1)CC#C,0
84,piquindone,[C@H]12C(C3=C(C[C@@H]1CCN(C2)C)[NH]C(=C3CC)C)=O,0
85,malonyl-CoA(5-),CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-])O,1
86,apomorphine,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,0
87,alpha-L-Fucose,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O,1
88,"(1r,2s,5s)-3-[n-({1-[(Tert-Butylsulfonyl)methyl]cyclohexyl}carbamoyl)-3-Methyl-L-Valyl]-N-{(1s)-1-[(1r)-2-(Cyclopropylamino)-1-Hydroxy-2-Oxoethyl]pentyl}-6,6-Dimethyl-3-Azabicyclo[3.1.0]hexane-2-Carboxamide",CCCC[C@@H]([C@H](C(=O)NC1CC1)O)NC(=O)[C@@H]2[C@@H]3[C@@H](C3(C)C)CN2C(=O)[C@H](C(C)(C)C)NC(=O)NC4(CCCCC4)CS(=O)(=O)C(C)(C)C,1
89,gedocarnil,C1=NC(=C(C2=C1[NH]C3=C2C(=CC=C3)OC4=CC=C(C=C4)Cl)COC)C(OC(C)C)=O,0
90,duoperone,C1=C(C(F)(F)F)C=CC3=C1N(C2=C(C=CC=C2)S3)CCCN5CCC(C(C4=CC=C(F)C=C4)=O)CC5,0
91,dichlorisone-acetate,[C@@]23(Cl)C(C1C([C@](O)(CC1)C(=O)COC(=O)C)(CC2Cl)C)CCC4=CC(=O)C=CC34C,0
92,"Sodium;5-amino-2,3-dihydrophthalazine-1,4-dione;hydride",[H-].C1=CC2=C(C(=C1)N)C(=O)NNC2=O.[Na+],1
93,lofendazam,C1=C(Cl)C=CC3=C1N(C2=CC=CC=C2)C(CCN3)=O,0
94,Hydrocortisone sodium succinate,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COC(=O)CCC(=O)[O-])O)C)O.[Na+],1
95,meloxicam,CN1C(=C(/O)Nc2sc(C)cn2)/C(=O)c3ccccc3[S]1(=O)=O,0
96,minaxolone,[C@@H]23[C@H]([C@H]1[C@]([C@@H](C(C)=O)CC1)(C)C[C@H]2N(C)C)CC[C@@H]4[C@@]3(C[C@H](OCC)[C@H](C4)O)C,0
97,Chlorzoxazone,C1=CC2=C(C=C1Cl)NC(=O)O2,1
98,clocortolone,[C@@]24(Cl)C1(C(=CC(=O)C=C1)[C@@H](F)CC2C3C(C([C@@H](C3)C)C(=O)CO)(CC4O)C)C,0
99,Modafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,1
100,Unii-dai4WL7JQ6,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=NC3=C(N=C(N=C32)N)NC)(C)F)O)OC4=CC=CC=C4.C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=NC3=C(N=C(N=C32)N)NC)(C)F)O)OC4=CC=CC=C4.OS(=O)(=O)O,1
101,dactinomycin,CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3OC4=C(C)C(=O)C(=C(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C4=Nc23)N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O,0
102,5-Methoxybenzo[d]thiazol-2-amine,COC1=CC2=C(C=C1)SC(=N2)N,1
103,GDP-4-keto-6-deoxymannose,C[C@@H]1C(=O)[C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O,1
104,Ipratropiumbromide,[Br-].CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,0
105,endixaprine,C3=C(C2=CC=C(N1CCC(O)CC1)N=N2)C(=CC(=C3)Cl)Cl,0
106,pecocycline,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC(C5)C(O)=O)C1=O,0
107,paclitaxel,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)C2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0
108,(3-Fluoro-benzyl)-furan-2-ylmethyl-amine,C1=CC(=CC(=C1)F)CNCC2=CC=CO2,1
109,tetrantoin,C1=CC=CC2=C1CC3(CC2)NC(=O)NC3=O,0
110,Diethylether,CCOCC,0
111,Nafcillin,[Na+].CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C([O-])=O,0
112,M2L-663581,OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,0
113,homprenorphine,C1=CC(=C5C2=C1CC6C34C2(C(C(OC)(C(C3)C(CC)(C)O)C=C4)O5)CCN6CC7CC7)OC,0
114,N-methylputrescinium(2+),C[NH2+]CCCC[NH3+],1
115,7-K10,c1ccc2Oc3c(cc(cc3)Cl)[C@@H]3[C@@H](c2c1)CNCC3,0
116,4-Piperidinopiperidine,C1CCN(CC1)C2CCNCC2,1
117,"5,6,7,8-Tetrahydrofolate(2-)",C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],1
118,26,C1CN(CCC1)Cc1cccc(c1)OCCCO,0
119,beta-D-fructofuranose 6-phosphate(2-),C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)([O-])[O-],1
120,Ceftaroline fosamil acetate,CCO/N=C(/C1=NSC(=N1)NP(=O)(O)O)\\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)[O-].CC(=O)O,1
121,nafimidone,C2=C(C(C[N]1C=CN=C1)=O)C=CC3=CC=CC=C23,0
122,Dexamfetamine,C[C@H](N)Cc1ccccc1,0
123,Uridine-5'-diphosphate-glucose,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,1
124,cyprenorphine,[C@@]135C67[C@@H](N(CC1)CC2CC2)CC4=CC=C(O)C(=C34)O[C@@H]5C(OC)(C(C6)C(O)(C)C)C=C7,0
125,Nintedanib,CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O,1
126,estrone,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,0
127,SB204459,c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](C[N@@]2C[C@@H](CC2)O)c2n(CC1)ccn2)=O,0
128,adrenaline,CNCC(O)c1ccc(O)c(O)c1,0
129,"(2S,3S)-2-methylcitrate",C[C@H](C(=O)[O-])[C@@](CC(=O)[O-])(C(=O)[O-])O,1
130,lorcainide,CC(C)N1CCC(CC1)N(C(=O)Cc2ccccc2)c3ccc(Cl)cc3,0
131,carbubarb,C(C1(C(NC(=O)NC1=O)=O)CCCC)COC(N)=O,0
132,difloxacin,CN1CCN(CC1)c2cc3N(C=C(C(O)=O)C(=O)c3cc2F)c4ccc(F)cc4,0
133,Artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,1
134,Glutamic acid,C(CC(=O)O)[C@@H](C(=O)O)N,1
135,dimethylamphetamine(dimethamphetamine),CN(C(C)CC1=CC=CC=C1)C,0
136,Myricetin,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,1
137,propanoyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,1
138,"1-[(2R)-2-hydroxypropyl]-3-[[(2R)-oxiran-2-yl]methyl]-5-[[(2S)-oxiran-2-yl]methyl]-1,3,5-triazinane-2,4,6-trione",C[C@H](CN1C(=O)N(C(=O)N(C1=O)C[C@@H]2CO2)C[C@H]3CO3)O,1
139,sodium;8-amino-4-oxo-3H-phthalazin-1-olate,C1=CC2=C(C(=C1)N)C(=NNC2=O)[O-].[Na+],1
140,proflazepam,C1=C(Cl)C=CC2=C1C(=NCC(N2CC(CO)O)=O)C3=CC=CC=C3F,0
141,L-lysinium(1+),C(CC[NH3+])C[C@@H](C(=O)O)N,1
142,Geranyl diphosphate(3-),CC(=CCC/C(=C/COP(=O)([O-])OP(=O)([O-])[O-])/C)C,1
143,11a,CN(C)c1cc(C2=NC(N)=NN2)ccn1,0
144,estazolam,Clc1ccc2n3cnnc3CN=C(c4ccccc4)c2c1,0
145,Halothane,FC(F)(F)C(Cl)Br,0
146,cephapirin,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(O)=O,0
147,"P1,P4-Bis(5'-adenosyl) tetraphosphate",C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)N,1
148,Levallorphan,Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC=C)c2c1,0
149,Uproleselan,CC[C@H]1C[C@H](C[C@H]([C@@H]1O[C@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)C)O)O)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O[C@@H](CC4CCCCC4)C(=O)O)NC(=O)C)C(=O)NCCNC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,1
150,nefazodone,[H+].C4=C(N3CCN(CCCN1N=C(N(C1=O)CCOC2=CC=CC=C2)CC)CC3)C=CC=C4Cl.[Cl-],0
151,alpha-D-galactose 1-phosphate(2-),C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)([O-])[O-])O)O)O)O,1
152,L-Cysteate,C([C@@H](C(=O)[O-])[NH3+])S(=O)(=O)[O-],1
153,fenobam,C1=C(C=CC=C1NC(NC2=NC(=O)CN2C)=O)Cl,0
154,tralonide,[C@]12(OC(O[C@@H]1CC3C2(C[C@H](Cl)[C@@]4(Cl)C3C[C@H](F)C5=CC(=O)C=CC45C)C)(C)C)C(=O)CF,0
155,aloracetam,C1=C([N](C(=C1C=O)C)CCNC(C)=O)C,0
156,phenoxypropazine(fenoxypropazine),C1=C(OCC(NN)C)C=CC=C1,0
157,"(5R)-5-amino-5,6,7,8-tetrahydronaphthalen-1-ol",C1C[C@H](C2=C(C1)C(=CC=C2)O)N,1
158,Aldosterone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O,1
159,pentamorphone,[C@]135[C@@]4([C@@H](CC2=C1C(=C(C=C2)O)O[C@H]3C(=O)C=C4)N(C)CC5)NCCCCC,0
160,"1-Benzimidazoleacetamide,N-methyl-(6CI)",CNC(=O)CN1C=NC2=CC=CC=C21,1
161,skb-e,c1cc2c(C(N[C@@H](CC)c3ccccc3)=O)c(c(c3ccccc3)nc2cc1)OCCCC(O)=O,0
162,cortisone-acetate,[C@]34([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)CC1)CC2)C)C(C3)=O)CC[C@@]4(C(COC(C)=O)=O)O)C,0
163,rolitetracycline,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC5)C1=O,0
164,Piperonylic acid,C1OC2=C(O1)C=C(C=C2)C(=O)O,1
165,Unii-O9H5KY11SV,CC(C)C[C@@H](C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O)NC(=O)OCC2=CC=CC=C2,1
166,Dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,1
167,Cladribine,Nc1nc(Cl)nc2n(cnc12)[C@H]3C[C@H](O)[C@@H](CO)O3,0
168,enilospirone,C3=C(OC2C1(NC(=O)C(O1)C)CCCC2)C=CC=C3Cl,0
169,4-methyl-N-phenylpiperazine-1-carboxamide,CN1CCN(CC1)C(=O)NC2=CC=CC=C2,1
170,fepitrizol,C3=C(C1=NC(=N[N]1C)C2=CC=CN=C2)C(=CC=C3)CO,0
171,Riboxin,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O,1
172,Montmorillonite,O.[O-2].[O-2].[O-2].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.[Al+3].[Al+3],1
173,"4-(carboxymethyl)-2-((R)-1-(2-(2,5-dichlorobenzamido)acetamido)-3-methylbutyl)-6-oxo-1,3,2-dioxaborinane-4-carboxylic acid",B1(OC(=O)CC(O1)(CC(=O)O)C(=O)O)[C@H](CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl,1
174,Org13011,C1N(CCN(C1)c1cc(ccn1)C(F)(F)F)CCCCN1C(CCC1)=O,0
175,Vitamin E,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,1
176,2-Amino-6-chlorobenzothiazole,C1=CC2=C(C=C1Cl)SC(=N2)N,1
177,Foscarnetsodium,[Na+].[Na+].[Na+].[O-]C(=O)[P]([O-])([O-])=O,0
178,111-trichloroethane,CC(Cl)(Cl)Cl,0
179,"1-[4-[(2-Methylphenyl)methyl]-1,4-diazepan-1-yl]ethanone",CC1=CC=CC=C1CN2CCCN(CC2)C(=O)C,1
180,ceforanide,NCc1ccccc1CC(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4CC(O)=O,0
181,captodiame,C1=CC(=CC=C1C(C2=CC=CC=C2)SCCN(C)C)SCCCC,0
182,Telmisartan,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,1
183,Mycophenolic acid,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\\C)/CCC(=O)O)O,1
184,propyperone,C1=CC(=CC=C1C(CCCN3CCC(N2CCCCC2)(CC3)C(CC)=O)=O)F,0
185,oxiperomide,O=C1Nc2ccccc2N1C3CCN(CCOc4ccccc4)CC3,0
186,trizoxime,C3=C2N(CC1=CC=CC=C1)C(=O)\C(NNC2=CC=C3)=C(\N)N=O,0
187,clofenciclan,C2=C(C1(OCCN(CC)CC)CCCCC1)C=CC(=C2)Cl,0
188,p-Xylene,Cc1ccc(C)cc1,0
189,Ergocalciferol,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\\2[C@@]1(CCC/C2=C\\C=C/3\\C[C@H](CCC3=C)O)C,1
190,Alpha D-Galactose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,1
